Customer ID,Visits,Page Views,Bounce Rate,Orders
ef2045ebebbba0378e37e081284f59b8,10,142,0,0
bf3ac299cf4702f266c3ff818f59fb4c,10,115,0.1,0
7f10182da2a9d140df6888246fe5aba7,10,107,0.1,0
86ad3ac9081ce829875bf46774954058,11,255,0.090909091,0
6017b312cd97fbb46ad32fbdf64b0091,11,172,0,0
ad62bee2ab5a972aca365980cd32f52b,11,161,0,0
bc48c53a9d0d1959faba955aa81a6fb6,11,132,0,0
1f5a36bac7ff709cec592d5cf8ba2b6d,11,108,0,0
ea4bece6073e8f5ee9265baf402bd37c,11,104,0.181818182,0
51e8fbd14e4c5f950da92fc7f17b0118,11,99,0,0
95f3f948c6762ad5dad5364970845bd6,11,96,0,0
70f2c70b52a3149cd3e1aefbf4af88ee,11,89,0.090909091,0
fce4e537c8a2a14a782b49dc9dd7ac5c,11,78,0.181818182,0
72064f4924248371f114a3f0a0d7d51a,11,66,0,0
bbbb4718ed54eff3d74d98842fa06c5e,11,58,0,0
58e0cc11cbede36f435036c196b7287d,11,46,0,0
2fd9091be0028c28d22a510d43b53f8f,11,42,0.090909091,0
11be2bb6cee82d177dde76c9d6d337f6,11,41,0,0
bdb8fd52792cf1d78494e7f4b6b249e9,11,39,0,1
1c136b4a87660ffa426e956a68eca210,11,34,0.181818182,0
ccb25b8762e9fe10469a61be7470ae0e,11,34,0,0
84e269eb1d9d67acd2ff9681500de062,11,28,0.181818182,0
59108f10e5edcb66dfa649280038a574,11,27,0.090909091,0
a99226d2a94ab72109d872ea61ee32b5,11,25,0.090909091,0
52ab6702b9520b9e3dbfcbf7fc620a4c,12,120,0,0
c075969e6bbc4c4315ed5a100d4867ac,12,105,0,0
de838a7da555e6e07dbe09ba8140902a,12,86,0,0
eee465e566e52bb16c180bf487cefcbf,12,82,0.083333333,0
4cd1eea7d39b2499b907c468ecfd1c79,12,47,0.083333333,0
e92d95c8531514e94e20e8a3f40a4852,12,29,0.25,1
ce2810d8fa50e7b56cd4bf2dfc210aa4,12,27,0.25,1
9f6873dfaeab90735b49b085e95e1e10,12,13,0.25,1
76d7a07fdceba0cb3e1d438d48a3b6d3,13,214,0.076923077,1
eb05f6a5094311acdc91b3bb056372be,13,91,0.307692308,1
c33d65d4d16397364a5731973339b305,13,71,0.153846154,1
8190f59c61383102a39105001349aa17,13,69,0,1
edea057a4060c346d6a846c0c2d1c6a2,13,56,0,1
35d9eaf20e4ebf274b47e5098ca8182d,13,52,0.153846154,1
b3df09d9d2901bea11c128667caf2944,13,48,0.076923077,0
1b3b23d032cc9ca53182993cb14d0893,13,39,0,0
f7a26367252e978984a159de96b18d21,13,31,0.153846154,1
8b50d6b8cd6e76a0edbff3a3675faf72,14,77,0,1
902d3979a19039f691ef4040e87da482,16,122,0,1
c26e964cf4dc9f8eeaa8927990c48e9b,16,53,0,1
2c264e0bb663522aa202279c065e2486,17,90,0.117647059,1
911e44ad8d02ed5b70749ccce9fc741a,17,71,0,1
6344381496645f5c88c50365fa7d5a3f,17,35,0.058823529,0
a47a6531ee074c809b424f344ad9b405,18,141,0.055555556,1
